Entity,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized","Annual freshwater withdrawals, total (billion cubic meters)",Premature_Death_Count,Health_Impact,Total discharges to Inland waters(million m3),Total discharges to the sea(million m3),"Agricultural (incl. forestry + fisheries) wastewater, all sources, direct discharges(million m3)","Urban wastewater, all sources, discharged without treatment(million m3)","Industrial wastewater, all sources, discharged without treatment(million m3)"
Australia,2015,0.097003154,9220000000.0,130,Medium,367.031,1374.177,0.5,121.079,55.0
Australia,2016,0.09313502,10623000000.0,133,Medium,372.351,1327.772,974.1,121.079,62.34
Australia,2017,0.08960168,12058641000.0,133,Medium,379.4445,1449.9057,242.6,151.84,72.18
Australia,2018,0.08764887,12425402000.0,135,Medium,324.3432,1359.3658,169.3235,151.84,55.0
Australia,2019,0.08515576,9782612000.0,138,Medium,303.2444,1352.0805,38.5,107.55,55.0
Belarus,2015,0.043378744,1448000000.0,32,Medium,608.67,1183.7,213.74,121.079,50.2
Belarus,2016,0.041745514,1452000000.0,32,Medium,784.41,1490.1301,245.0,112.92,43.3193
Belarus,2017,0.04000591,1397000000.0,31,Medium,161.42,587.6,241.2,51.72,48.0774
Belarus,2018,0.037791885,1390000000.0,29,Medium,2358.63,1289.0,242.6,137.27,553.2
Belarus,2019,0.036095764,1358000000.0,29,Medium,367.031,1407.5504,216.274,137.27,49.59
Belgium,2015,0.107172705,3994000000.0,120,Medium,2311.8,0.0,6.2,137.27,582.0
Belgium,2016,0.102727585,4193040400.0,121,Medium,2358.63,0.0,5.04,112.92,614.5
Belgium,2017,0.09880109,4392081000.0,121,Medium,2358.63,0.0,5.05,107.55,573.9
Belgium,2018,0.096345514,4400944700.0,121,Medium,2197.66,0.0,5.82,151.84,573.9
Belgium,2019,0.0943147,4400944700.0,123,Medium,2197.66,0.0,6.09,107.55,582.0
Bulgaria,2015,0.157453,5629400000.0,33,Medium,784.41,16.7,36.62,107.55,32.86
Bulgaria,2016,0.14645907,5689000000.0,33,Medium,784.89,16.97,39.75,79.42,29.76
Bulgaria,2017,0.14110532,5658000000.0,32,Medium,743.91,21.57,43.12,61.72,27.97
Bulgaria,2018,0.13495502,5425000000.0,32,Medium,743.26,24.53,43.83,59.67,31.83
Bulgaria,2019,0.12872387,5422000000.0,32,Medium,693.23,16.86,50.31,54.32,29.99
Costa Rica,2015,1.2359579,2922710000.0,121,Medium,367.031,1327.772,201.8828,107.55,88.9074
Costa Rica,2016,1.2359579,2922710000.0,121,Medium,367.031,1327.772,201.8828,107.55,88.9074
Costa Rica,2017,1.186751,2440000000.0,119,Medium,1367.4,1449.9057,197.9493,112.92,19.7575
Costa Rica,2018,1.1466876,2410000000.0,119,Medium,1115.6,1327.772,204.917,151.84,18.0201
Costa Rica,2019,1.1105666,2430000000.0,120,Medium,1913.5,1183.7,239.7274,151.84,39.9247
Croatia,2015,0.13381794,683500000.0,17,Low,237.74,41.95,1.0,50.5,51.25
Croatia,2016,0.13335836,665900000.0,17,Low,234.97,41.47,1.0,49.4,49.59
Croatia,2017,0.11832887,672900000.0,17,Low,232.94,41.11,1.0,47.36,47.53
Croatia,2018,0.11017985,673000000.0,16,Low,241.61,42.63,1.0,45.85,52.29
Croatia,2019,0.10384203,670000000.0,15,Low,225.68,39.83,1.0,45.08,50.2
Czechia,2015,0.3687007,1600000000.0,111,Medium,1115.6,121.92,3.4,151.84,56.25
Czechia,2016,0.36048716,1634800000.0,112,Medium,1133.9,330.0,4.3,151.84,103.57
Czechia,2017,0.33712596,1630000000.0,109,Medium,1168.9,70.12,5.1,112.92,55.0
Czechia,2018,0.29420874,1591000000.0,100,Medium,1070.5,16.86,4.5,137.27,55.0
Czechia,2019,0.26296818,1953000000.0,94,Medium,1107.5,70.7,3.0,63.96,55.0
Denmark,2015,0.08546925,811800000.0,44,Medium,240.24,587.6,334.35,45.08,50.2
Denmark,2016,0.08209255,886995000.0,44,Medium,269.09,430.0,288.66,45.05,50.2
Denmark,2017,0.079320475,895798000.0,45,Medium,241.61,578.0,281.83,45.08,50.11
Denmark,2018,0.07646748,1099477000.0,45,Medium,2358.63,1940.21,295.31,112.92,1927.9
Denmark,2019,0.07399179,922324000.0,45,Medium,2176.46,1449.9057,276.88,107.55,579.26
Estonia,2015,0.046187866,1615342600.0,5,Low,213.42,70.7,48.81,52.1,51.25
Estonia,2016,0.048265092,1751400000.0,5,Low,53.07,70.35,0.11,45.08,55.0
Estonia,2017,0.043767635,1784900000.0,5,Low,52.65,74.05,0.49,7.39,72.18
Estonia,2018,0.041058756,1608540000.0,5,Low,45.0,63.63,32.5,49.4,56.25
Estonia,2019,0.038806874,1006450000.0,5,Low,47.84,70.94,0.08,8.65,56.25
